h_c_id,h_c_d_id,h_c_w_id,h_d_id,h_w_id,h_date,h_amount,h_data
73,1,1,1,1,2018-10-20 21:31:39,10.00,e78SMcYJadj8epced
74,1,1,1,1,2018-10-20 21:31:39,10.00,Y9HQ2bljw0tysKUYOuUv9
75,1,1,1,1,2018-10-20 21:31:39,10.00,3yzpi30BRI9V2NLK
76,1,1,1,1,2018-10-20 21:31:39,10.00,ZUA2vHkxC3szAaU
77,1,1,1,1,2018-10-20 21:31:39,10.00,vQT9HbeuTL4MJBsSIE1e
78,1,1,1,1,2018-10-20 21:31:39,10.00,ks97fGdDq5BZQ
79,1,1,1,1,2018-10-20 21:31:39,10.00,otAvDJ68CqGw
80,1,1,1,1,2018-10-20 21:31:39,10.00,ycWTkKmOXSULCrVRfyJ
81,1,1,1,1,2018-10-20 21:31:39,10.00,Wjq2GQzXLDFXI
82,1,1,1,1,2018-10-20 21:31:39,10.00,dXIInzWJ0seCc2ZohaPb1zq6
83,1,1,1,1,2018-10-20 21:31:39,10.00,7HfOpYJle6uwJWnuusWR
84,1,1,1,1,2018-10-20 21:31:39,10.00,UrQ7jkCpS4Qu
85,1,1,1,1,2018-10-20 21:31:39,10.00,r7LW9n9SP1qYt
86,1,1,1,1,2018-10-20 21:31:39,10.00,UWUw2ZRSlnUoPLv9XRY3oCJ
87,1,1,1,1,2018-10-20 21:31:39,10.00,3Qs25jwmbuMq4VF1205OLdS
88,1,1,1,1,2018-10-20 21:31:39,10.00,BkHKgSwaOufeoT
89,1,1,1,1,2018-10-20 21:31:39,10.00,diFgSwftGRpcgq1Ot
90,1,1,1,1,2018-10-20 21:31:39,10.00,fr4yuz970YWC
91,1,1,1,1,2018-10-20 21:31:39,10.00,ZwBWXnECdfPy
92,1,1,1,1,2018-10-20 21:31:39,10.00,uq1pUX3lvL6WtIhw3w
93,1,1,1,1,2018-10-20 21:31:39,10.00,MSAXKclJYy6T4j30nxx
94,1,1,1,1,2018-10-20 21:31:39,10.00,cWafdFmVrdTQA4ktF6
95,1,1,1,1,2018-10-20 21:31:39,10.00,gtoHoQhOdieD
96,1,1,1,1,2018-10-20 21:31:39,10.00,M95ttG4D8SZcSRitMGG
97,1,1,1,1,2018-10-20 21:31:39,10.00,m1kswSJOKDkcxtnrJN
98,1,1,1,1,2018-10-20 21:31:39,10.00,1eZQyrg7K86wo
99,1,1,1,1,2018-10-20 21:31:39,10.00,HW6LVhoHXIwkA6AuCZdHZUW
100,1,1,1,1,2018-10-20 21:31:39,10.00,CytMJfcku2Yg4y2UFXVF4D
101,1,1,1,1,2018-10-20 21:31:39,10.00,md83QMqAXkAAw6WJf
102,1,1,1,1,2018-10-20 21:31:39,10.00,IudT24wAKCInH9ocaNYPm
103,1,1,1,1,2018-10-20 21:31:39,10.00,uMVuNbBZW1pzbnE6prvi
104,1,1,1,1,2018-10-20 21:31:39,10.00,FGjkfyWOKA7Ia
105,1,1,1,1,2018-10-20 21:31:39,10.00,hI0SE1p7whik9aLA4
106,1,1,1,1,2018-10-20 21:31:39,10.00,TdArdluw0HWvxTotMcMa
107,1,1,1,1,2018-10-20 21:31:39,10.00,qrQpPChVs989OaG6
108,1,1,1,1,2018-10-20 21:31:39,10.00,lA17MgmyXM5CsFPBUxkXw1kV
109,1,1,1,1,2018-10-20 21:31:39,10.00,iv9XwX7MuuLDIgx
110,1,1,1,1,2018-10-20 21:31:39,10.00,Iuan7soBycKdEjt7
111,1,1,1,1,2018-10-20 21:31:39,10.00,if3ftsI9ZClqiR8GfEd33MD
112,1,1,1,1,2018-10-20 21:31:39,10.00,rVWyJm0miYTU98E2lkp
113,1,1,1,1,2018-10-20 21:31:39,10.00,PiFQCyV9uBWthXhplQQL
114,1,1,1,1,2018-10-20 21:31:39,10.00,mI1D8BFxpvehP8ga4p3O68
115,1,1,1,1,2018-10-20 21:31:39,10.00,cuejPPmDI1ij5
116,1,1,1,1,2018-10-20 21:31:39,10.00,JTARD5cRp4BVbCOldo0T2
117,1,1,1,1,2018-10-20 21:31:39,10.00,hny3oqdNBsocVSCg4q
118,1,1,1,1,2018-10-20 21:31:39,10.00,hqIuAMpND5jLO89
119,1,1,1,1,2018-10-20 21:31:39,10.00,OGmxJWQZgIb5TegKb
120,1,1,1,1,2018-10-20 21:31:39,10.00,n49uE1Lw35VlPwMU
121,1,1,1,1,2018-10-20 21:31:39,10.00,J8JP0P0fkZLY
122,1,1,1,1,2018-10-20 21:31:39,10.00,esinGsQfmVKUm0E
123,1,1,1,1,2018-10-20 21:31:39,10.00,1A9QYCK4si4yUoWOG
124,1,1,1,1,2018-10-20 21:31:39,10.00,PDcDUcvfiLshT
125,1,1,1,1,2018-10-20 21:31:39,10.00,ZBMV0PliFmsG6qXIXi
126,1,1,1,1,2018-10-20 21:31:39,10.00,HQni0sNMcBl0q58Ao
127,1,1,1,1,2018-10-20 21:31:39,10.00,9Nuu5Yi0cT39RoO
128,1,1,1,1,2018-10-20 21:31:39,10.00,nTEyAEsYkD9gnK4VoIkU
129,1,1,1,1,2018-10-20 21:31:39,10.00,e8Msf7S0I01K9cg568ijneo5
130,1,1,1,1,2018-10-20 21:31:39,10.00,gB6FHxWlkCc1Bu
131,1,1,1,1,2018-10-20 21:31:39,10.00,nzgfz79GMNSK
132,1,1,1,1,2018-10-20 21:31:39,10.00,DqqtwK6p88SU7cVx3Yxh8M
133,1,1,1,1,2018-10-20 21:31:39,10.00,0g6spZ6sWlWltzN9routaFNd
134,1,1,1,1,2018-10-20 21:31:39,10.00,Krj3VIi66u6WVW0wkd8RrS
135,1,1,1,1,2018-10-20 21:31:39,10.00,jT6iAu0d1c4wD3bP
136,1,1,1,1,2018-10-20 21:31:39,10.00,9WUKtAFy96ezlqbnT3wvy7
137,1,1,1,1,2018-10-20 21:31:39,10.00,Na6JaUcMKJc3qI5rqmciBhj3
138,1,1,1,1,2018-10-20 21:31:39,10.00,xBugaUaE1o4bioC2iJW3v
139,1,1,1,1,2018-10-20 21:31:39,10.00,MUVlaJEu6asQf
140,1,1,1,1,2018-10-20 21:31:39,10.00,ogUxGKg4gafCfwatkEVbO1
141,1,1,1,1,2018-10-20 21:31:39,10.00,z30lSCj644KZGzm
142,1,1,1,1,2018-10-20 21:31:39,10.00,kUnBtrtAiJzJmP2F
143,1,1,1,1,2018-10-20 21:31:39,10.00,3yA59hknDDTUH
144,1,1,1,1,2018-10-20 21:31:39,10.00,xnXDCBJLC6GEcxukwoF
145,1,1,1,1,2018-10-20 21:31:39,10.00,G9HCTkBg8CJnxP
146,1,1,1,1,2018-10-20 21:31:39,10.00,5t513l3Nce1sjFhgW
147,1,1,1,1,2018-10-20 21:31:39,10.00,bIgBUHEJJg4QAk
148,1,1,1,1,2018-10-20 21:31:39,10.00,IaVOqC2GeGTKAXV
149,1,1,1,1,2018-10-20 21:31:39,10.00,PmA5Lv6k7jeXwIFim
150,1,1,1,1,2018-10-20 21:31:39,10.00,O0xaPF2IKav5XxxdFFkrmt
151,1,1,1,1,2018-10-20 21:31:39,10.00,PBiT4FW4e9c3aQvj
152,1,1,1,1,2018-10-20 21:31:39,10.00,y3DAuCB5YiBfMbVsoANafrol
153,1,1,1,1,2018-10-20 21:31:39,10.00,LTnhnAm4SKcTuMvGPN59SA
154,1,1,1,1,2018-10-20 21:31:39,10.00,v3NNFEFTlbEJ
155,1,1,1,1,2018-10-20 21:31:39,10.00,662zEdAJzlaBOUEQy
156,1,1,1,1,2018-10-20 21:31:39,10.00,6m4VIRQv8Y3Xi8rIhDs
157,1,1,1,1,2018-10-20 21:31:39,10.00,hwObSLuKupyxB8oOlmE
158,1,1,1,1,2018-10-20 21:31:39,10.00,E2bRb5pPNIoVB68hbh2wpQQ
159,1,1,1,1,2018-10-20 21:31:39,10.00,3j8YerP9MLx5xgPir6bdp4d2
160,1,1,1,1,2018-10-20 21:31:39,10.00,Ss8BzM1g7Vcs92SU
161,1,1,1,1,2018-10-20 21:31:39,10.00,qXMIbxe9SsZGr1c
162,1,1,1,1,2018-10-20 21:31:39,10.00,nBpQcEYE8WfO
163,1,1,1,1,2018-10-20 21:31:39,10.00,5lda9m9GTx8FSz79V6lLb
164,1,1,1,1,2018-10-20 21:31:39,10.00,QaxOkNm0JpqzXlQ6Us
165,1,1,1,1,2018-10-20 21:31:39,10.00,VrLcpd3A8SXa1pP1s2U
166,1,1,1,1,2018-10-20 21:31:39,10.00,5vMwHwaoccW1RWe
167,1,1,1,1,2018-10-20 21:31:39,10.00,UcsoWz5UVYJkuEL
168,1,1,1,1,2018-10-20 21:31:39,10.00,NYSQtAftBoLxAJXZ
169,1,1,1,1,2018-10-20 21:31:39,10.00,dNqBq3gUONyZ4R9Tl
170,1,1,1,1,2018-10-20 21:31:39,10.00,EHcoRmxQZR2HEgS
171,1,1,1,1,2018-10-20 21:31:39,10.00,V8f20yPPGPBHR
172,1,1,1,1,2018-10-20 21:31:39,10.00,JS68hEh8DSNGGh1OtpydUdMY
173,1,1,1,1,2018-10-20 21:31:39,10.00,y2wxKUbApSuUenB
174,1,1,1,1,2018-10-20 21:31:39,10.00,f4ASD8eJPSgvxop
175,1,1,1,1,2018-10-20 21:31:39,10.00,69sSF9yyjlChqXfCXgs
176,1,1,1,1,2018-10-20 21:31:39,10.00,MgFe0g08YcQRSJXK0vXWCH
177,1,1,1,1,2018-10-20 21:31:39,10.00,Bz6zFyDY4BIS8qGrieVISvs
178,1,1,1,1,2018-10-20 21:31:39,10.00,tI2d74Hj7lUt9LM9J7Ln85P
179,1,1,1,1,2018-10-20 21:31:39,10.00,rmOQdp8Cpro5SUGZNgKhSkpK
180,1,1,1,1,2018-10-20 21:31:39,10.00,fz5ayafmBlhw1JtsLhKb
181,1,1,1,1,2018-10-20 21:31:39,10.00,eCkshl5e62FQeDzi4
182,1,1,1,1,2018-10-20 21:31:39,10.00,pDmTPZzSRF0eEfkp3DzNL
183,1,1,1,1,2018-10-20 21:31:39,10.00,rOY5PbSsPWD8M6CZ
184,1,1,1,1,2018-10-20 21:31:39,10.00,pHGNm9Q2RoxWyXmWcLxbsEh
185,1,1,1,1,2018-10-20 21:31:39,10.00,6jjaskET6cDmTSU46BjMCnn
186,1,1,1,1,2018-10-20 21:31:39,10.00,ttwKHzpyQlTV4
187,1,1,1,1,2018-10-20 21:31:39,10.00,fCGjNkFsuqBVlq
188,1,1,1,1,2018-10-20 21:31:39,10.00,5DaoFDkrl5yqfORDOJpD
189,1,1,1,1,2018-10-20 21:31:39,10.00,EaiZLtAbLWqHZ2gCCcC5
190,1,1,1,1,2018-10-20 21:31:39,10.00,GzFNwptT2cUL6xrE7n1K
191,1,1,1,1,2018-10-20 21:31:39,10.00,7zWip2ZkFKPKmcRgp0hY6d
192,1,1,1,1,2018-10-20 21:31:39,10.00,yNfvB2I43SV1oolnUNk5rbP9
193,1,1,1,1,2018-10-20 21:31:39,10.00,4Tpi9Nb5xGUZCIWouKb7y
194,1,1,1,1,2018-10-20 21:31:39,10.00,4Q4AP1SJVvb5
195,1,1,1,1,2018-10-20 21:31:39,10.00,mFGCIuqW8eGrmm0qZpUeowMR
196,1,1,1,1,2018-10-20 21:31:39,10.00,zIXjro0Hpzx6ge0d7wJKW
197,1,1,1,1,2018-10-20 21:31:39,10.00,eHi5o0U58ELGArGpf
198,1,1,1,1,2018-10-20 21:31:39,10.00,wrJ4g0NUrxgoD1R0VNUNqZQ
199,1,1,1,1,2018-10-20 21:31:39,10.00,T2DAB2XNFkW6GgQ26KSR1CE
200,1,1,1,1,2018-10-20 21:31:39,10.00,D5LoShoJueKyyLN0ycw5GA0
201,1,1,1,1,2018-10-20 21:31:39,10.00,iIB3bilyGySCINtZR3mJmlay
202,1,1,1,1,2018-10-20 21:31:39,10.00,LgJz3Q2YSTRqJuhuhmT
203,1,1,1,1,2018-10-20 21:31:39,10.00,LryVbtA5ENc3VHYIo5S4
204,1,1,1,1,2018-10-20 21:31:39,10.00,I7en590hK3DyKnLb
205,1,1,1,1,2018-10-20 21:31:39,10.00,f6SUT7jyjeRWDrLqGMt
206,1,1,1,1,2018-10-20 21:31:39,10.00,LdfBSWn24A70qDeQ
207,1,1,1,1,2018-10-20 21:31:39,10.00,efmXdZzyZHWApxcorOXteOp9
208,1,1,1,1,2018-10-20 21:31:39,10.00,DgaUlko2sW4RGbT
209,1,1,1,1,2018-10-20 21:31:39,10.00,j5YOB9V9wlODREHAOfexhQ
210,1,1,1,1,2018-10-20 21:31:39,10.00,4fa1kG0TWcRCmYCjB
211,1,1,1,1,2018-10-20 21:31:39,10.00,l2wqtrb4YkDmHZEwHH9
212,1,1,1,1,2018-10-20 21:31:39,10.00,9NF5JXPT6LROAVcvvr7Uv78K
213,1,1,1,1,2018-10-20 21:31:39,10.00,oswmYavHiAhTcKXzhZTWUrU
214,1,1,1,1,2018-10-20 21:31:39,10.00,Hhip5nDGjeRbZTwY5mC
215,1,1,1,1,2018-10-20 21:31:39,10.00,Bpz82VsPvK8ViGJwh0r0py8f
216,1,1,1,1,2018-10-20 21:31:39,10.00,72TcExa076tWjeS
217,1,1,1,1,2018-10-20 21:31:39,10.00,DfepE5DkxOe4EUYhEc
218,1,1,1,1,2018-10-20 21:31:39,10.00,QH8qZ824n6SotR
219,1,1,1,1,2018-10-20 21:31:39,10.00,j2s16FOlx2eo9
220,1,1,1,1,2018-10-20 21:31:39,10.00,KUJPvlLWMBqm
221,1,1,1,1,2018-10-20 21:31:39,10.00,uywDcBik6h9IXS6M0H3nV
222,1,1,1,1,2018-10-20 21:31:39,10.00,6QUj79OUUbhqQLxLSIqu
223,1,1,1,1,2018-10-20 21:31:39,10.00,bS4rrLzG7Tn5G
224,1,1,1,1,2018-10-20 21:31:39,10.00,Kikbz8A8xofuCF
225,1,1,1,1,2018-10-20 21:31:39,10.00,kg5g7xwAjcjyTufOdonPwR93
226,1,1,1,1,2018-10-20 21:31:39,10.00,BkfJxciwE0sU3
227,1,1,1,1,2018-10-20 21:31:39,10.00,C23VE6bTiP8opYB9Z
228,1,1,1,1,2018-10-20 21:31:39,10.00,an2p5aYE9jyxmT
229,1,1,1,1,2018-10-20 21:31:39,10.00,Piyq2ZZCn6gE3PgBGJuE
230,1,1,1,1,2018-10-20 21:31:39,10.00,QBmwwX8MwvIoyrz
231,1,1,1,1,2018-10-20 21:31:39,10.00,VHktgiA0vKZTZLtn7jHKTGv5
232,1,1,1,1,2018-10-20 21:31:39,10.00,CVjQJJpwBlvqo2B6sGyV
233,1,1,1,1,2018-10-20 21:31:39,10.00,V893rc4lFQLwtceP46QD3s
234,1,1,1,1,2018-10-20 21:31:39,10.00,spjRexhHPzf8AcnZKmT09uI
235,1,1,1,1,2018-10-20 21:31:39,10.00,z94Bhc2uRAkyNAZovhoq5
236,1,1,1,1,2018-10-20 21:31:39,10.00,yHsaJ4LOJ3mt
237,1,1,1,1,2018-10-20 21:31:39,10.00,fK8Xklo64yqyv
238,1,1,1,1,2018-10-20 21:31:39,10.00,6mjtxj9J7sdZ
239,1,1,1,1,2018-10-20 21:31:39,10.00,ZqgT9hBEdyxBOh6jqMM
240,1,1,1,1,2018-10-20 21:31:39,10.00,E5uoPfDjk53cXgDMPP
241,1,1,1,1,2018-10-20 21:31:39,10.00,o1jM842lPtSldnq4zzloZjP
242,1,1,1,1,2018-10-20 21:31:39,10.00,B2e0HRpXTCbcMaUv7
243,1,1,1,1,2018-10-20 21:31:39,10.00,Zjw7iOuKswpru
244,1,1,1,1,2018-10-20 21:31:39,10.00,P1zWmoYUO1WAFiVC9j
245,1,1,1,1,2018-10-20 21:31:39,10.00,NDe6W85ZCeZXk4J
246,1,1,1,1,2018-10-20 21:31:39,10.00,keo8FjBkJsd7
247,1,1,1,1,2018-10-20 21:31:39,10.00,CzfGdwemKX1mHqVwhr
248,1,1,1,1,2018-10-20 21:31:39,10.00,05p0DOEFhYKN9
249,1,1,1,1,2018-10-20 21:31:39,10.00,XPhcYgf2GMnyKOsMp
250,1,1,1,1,2018-10-20 21:31:39,10.00,h4Nd6s7X30bztT
251,1,1,1,1,2018-10-20 21:31:39,10.00,WYctxYvleBIi9H8PI2
252,1,1,1,1,2018-10-20 21:31:39,10.00,vsnBLFjPPxv09wsSQuYpPD
253,1,1,1,1,2018-10-20 21:31:39,10.00,0IEciiCmL2Gm
254,1,1,1,1,2018-10-20 21:31:39,10.00,2Cqf2XUJKK5aLn2tS
255,1,1,1,1,2018-10-20 21:31:39,10.00,bKo7bvrdhnaNj
256,1,1,1,1,2018-10-20 21:31:39,10.00,SHBz5PLMbKhC696Q
257,1,1,1,1,2018-10-20 21:31:39,10.00,0fAp27mxvk15S8
258,1,1,1,1,2018-10-20 21:31:39,10.00,JmpnCCPtak1QLemFD
259,1,1,1,1,2018-10-20 21:31:39,10.00,V3CWxFBsJNpOidBAlw
260,1,1,1,1,2018-10-20 21:31:39,10.00,28ol7wm0lSrtrE
261,1,1,1,1,2018-10-20 21:31:39,10.00,ZXOBNmNU2lRg
262,1,1,1,1,2018-10-20 21:31:39,10.00,ovnCd6CPXQSP
263,1,1,1,1,2018-10-20 21:31:39,10.00,1sLBllgYwsA7Aq
264,1,1,1,1,2018-10-20 21:31:39,10.00,7RC5xscqRJ6HyOIJVazQfY6
265,1,1,1,1,2018-10-20 21:31:39,10.00,K4yPDzjDi3HxnYARWYJ
266,1,1,1,1,2018-10-20 21:31:39,10.00,c4c8o25o9kIfBWeq4qG2b9
267,1,1,1,1,2018-10-20 21:31:39,10.00,rJyAsa5YSRvmdKjvES7xnPUI
268,1,1,1,1,2018-10-20 21:31:39,10.00,09o6RqQJdkckyt05
269,1,1,1,1,2018-10-20 21:31:39,10.00,keBBfk8st7qfVvTr
270,1,1,1,1,2018-10-20 21:31:39,10.00,GE73PmELXFJLgKdDu9Pm
271,1,1,1,1,2018-10-20 21:31:39,10.00,2ESVZUWgvKmZIbxEwSNUreI
272,1,1,1,1,2018-10-20 21:31:39,10.00,jVDrlL93r32d64YtxBuTpKi
273,1,1,1,1,2018-10-20 21:31:39,10.00,ZBny5NBHpQHQq
274,1,1,1,1,2018-10-20 21:31:39,10.00,lGRJUfm6ld7RkwfmnVdhDYn
275,1,1,1,1,2018-10-20 21:31:39,10.00,Z0EM1R3g3lq8M5
276,1,1,1,1,2018-10-20 21:31:39,10.00,VSUpd1OY7W7FJ1ExoDy
277,1,1,1,1,2018-10-20 21:31:39,10.00,TLNDvYQc3T6bMvCa
278,1,1,1,1,2018-10-20 21:31:39,10.00,7rcRgCy4Yi7RFkyhoSXW
279,1,1,1,1,2018-10-20 21:31:39,10.00,3lr6wsdp63WCxEuRA3
280,1,1,1,1,2018-10-20 21:31:39,10.00,UwDO5R6qI9fIV
281,1,1,1,1,2018-10-20 21:31:39,10.00,TX9wUygqAWEFHGUaI
282,1,1,1,1,2018-10-20 21:31:39,10.00,L2T7v7Nzv0GORW0bY4sI
283,1,1,1,1,2018-10-20 21:31:39,10.00,YYRmfC4M9LQY3nh6
284,1,1,1,1,2018-10-20 21:31:39,10.00,1ZUlVJO28VF4MiA6q
285,1,1,1,1,2018-10-20 21:31:39,10.00,TmaNc0X6Czg0CSQ3fa3FvrO
286,1,1,1,1,2018-10-20 21:31:39,10.00,BCp0Gz7gcHIH6qiyUZq8OL
287,1,1,1,1,2018-10-20 21:31:39,10.00,ZosXieMZba3E6YaMC3Esq0I3
288,1,1,1,1,2018-10-20 21:31:39,10.00,USD4OT44lcGN5VoXnHeMNCM
289,1,1,1,1,2018-10-20 21:31:39,10.00,tFOFAAdI1b223aNs
290,1,1,1,1,2018-10-20 21:31:39,10.00,HOmyl3ydtWyI7fKp1feUSeKa
291,1,1,1,1,2018-10-20 21:31:39,10.00,p3nMLfmj82kkg
292,1,1,1,1,2018-10-20 21:31:39,10.00,YhvCRPoXV2Rcdo
293,1,1,1,1,2018-10-20 21:31:39,10.00,pAxuZTPPuLrk31Wy
294,1,1,1,1,2018-10-20 21:31:39,10.00,LKqYcYNHivPA9m
295,1,1,1,1,2018-10-20 21:31:39,10.00,ht4JA2Y1P9Yr3TZbr6esEsI
296,1,1,1,1,2018-10-20 21:31:39,10.00,3bUBGnttSPO3hAvBqx2
297,1,1,1,1,2018-10-20 21:31:39,10.00,XyXGq9YD5t7j9QN9lUOzg6FN
298,1,1,1,1,2018-10-20 21:31:39,10.00,DiPxm7KdBlnZ56PaTB
299,1,1,1,1,2018-10-20 21:31:39,10.00,i1ptuoiwBuL0cm7o5FXuMG
300,1,1,1,1,2018-10-20 21:31:39,10.00,VNkUtNjv4OqQZbC5ieIJknUS
301,1,1,1,1,2018-10-20 21:31:39,10.00,pPD9SNeu4YXiK
302,1,1,1,1,2018-10-20 21:31:39,10.00,l895xxuPBcca3Y
303,1,1,1,1,2018-10-20 21:31:39,10.00,9PjgQZ59DGakhFouW
304,1,1,1,1,2018-10-20 21:31:39,10.00,RmwDR5psCdqmDmswKsFJ3Fcb
305,1,1,1,1,2018-10-20 21:31:39,10.00,4CSjO0ed6Jn1XT00AACWZ
306,1,1,1,1,2018-10-20 21:31:39,10.00,NXvGJiUb3r1LbIi
307,1,1,1,1,2018-10-20 21:31:39,10.00,0dtd0kO4haM57GTvvDtag5
