o_id,o_w_id,o_d_id,o_c_id,o_carrier_id,o_ol_cnt,o_all_local,o_entry_d
230,1,1,1370,9,14,1,2018-10-20 21:31:57
231,1,1,1543,10,11,1,2018-10-20 21:31:57
232,1,1,520,4,6,1,2018-10-20 21:31:57
233,1,1,1272,9,7,1,2018-10-20 21:31:57
234,1,1,2488,8,14,1,2018-10-20 21:31:57
235,1,1,704,10,5,1,2018-10-20 21:31:57
236,1,1,1656,8,5,1,2018-10-20 21:31:57
237,1,1,1543,8,14,1,2018-10-20 21:31:57
238,1,1,884,4,11,1,2018-10-20 21:31:57
239,1,1,2001,8,14,1,2018-10-20 21:31:57
240,1,1,655,5,13,1,2018-10-20 21:31:57
241,1,1,1081,10,5,1,2018-10-20 21:31:57
242,1,1,2764,1,5,1,2018-10-20 21:31:57
243,1,1,1859,10,14,1,2018-10-20 21:31:57
244,1,1,630,9,5,1,2018-10-20 21:31:57
245,1,1,1736,10,12,1,2018-10-20 21:31:57
246,1,1,338,1,6,1,2018-10-20 21:31:57
247,1,1,878,1,11,1,2018-10-20 21:31:57
248,1,1,994,10,10,1,2018-10-20 21:31:57
249,1,1,2025,10,11,1,2018-10-20 21:31:57
250,1,1,476,5,10,1,2018-10-20 21:31:57
251,1,1,331,6,6,1,2018-10-20 21:31:57
252,1,1,2177,10,14,1,2018-10-20 21:31:57
253,1,1,1852,7,15,1,2018-10-20 21:31:57
254,1,1,2224,2,7,1,2018-10-20 21:31:57
255,1,1,2000,2,9,1,2018-10-20 21:31:57
256,1,1,2641,2,10,1,2018-10-20 21:31:57
257,1,1,1731,6,14,1,2018-10-20 21:31:57
258,1,1,2911,10,12,1,2018-10-20 21:31:57
259,1,1,2419,9,11,1,2018-10-20 21:31:57
260,1,1,1465,8,8,1,2018-10-20 21:31:57
261,1,1,766,10,8,1,2018-10-20 21:31:57
262,1,1,1475,7,10,1,2018-10-20 21:31:57
263,1,1,995,9,9,1,2018-10-20 21:31:57
264,1,1,1070,7,9,1,2018-10-20 21:31:57
265,1,1,2293,7,10,1,2018-10-20 21:31:57
266,1,1,530,6,12,1,2018-10-20 21:31:57
267,1,1,2102,10,5,1,2018-10-20 21:31:57
268,1,1,2653,7,15,1,2018-10-20 21:31:57
269,1,1,1035,5,5,1,2018-10-20 21:31:57
270,1,1,1641,3,7,1,2018-10-20 21:31:57
271,1,1,1814,1,11,1,2018-10-20 21:31:57
272,1,1,2190,7,6,1,2018-10-20 21:31:57
273,1,1,774,6,14,1,2018-10-20 21:31:57
274,1,1,2602,8,11,1,2018-10-20 21:31:57
275,1,1,1303,2,5,1,2018-10-20 21:31:57
276,1,1,2408,6,11,1,2018-10-20 21:31:57
277,1,1,810,7,11,1,2018-10-20 21:31:57
278,1,1,2889,3,13,1,2018-10-20 21:31:57
279,1,1,1515,7,9,1,2018-10-20 21:31:57
280,1,1,1404,8,14,1,2018-10-20 21:31:57
281,1,1,2894,2,15,1,2018-10-20 21:31:57
282,1,1,571,2,12,1,2018-10-20 21:31:57
283,1,1,848,8,5,1,2018-10-20 21:31:57
284,1,1,1983,9,14,1,2018-10-20 21:31:57
285,1,1,2440,2,10,1,2018-10-20 21:31:57
286,1,1,499,2,6,1,2018-10-20 21:31:57
287,1,1,945,5,13,1,2018-10-20 21:31:57
288,1,1,514,5,13,1,2018-10-20 21:31:57
289,1,1,2390,4,6,1,2018-10-20 21:31:57
290,1,1,1645,2,10,1,2018-10-20 21:31:57
291,1,1,2439,6,5,1,2018-10-20 21:31:57
292,1,1,1025,5,6,1,2018-10-20 21:31:57
293,1,1,1050,9,10,1,2018-10-20 21:31:57
294,1,1,2318,3,7,1,2018-10-20 21:31:57
295,1,1,1254,1,9,1,2018-10-20 21:31:57
296,1,1,430,3,14,1,2018-10-20 21:31:57
297,1,1,1258,10,5,1,2018-10-20 21:31:57
298,1,1,1875,7,11,1,2018-10-20 21:31:57
299,1,1,1792,10,13,1,2018-10-20 21:31:57
300,1,1,1386,7,7,1,2018-10-20 21:31:57
301,1,1,600,10,5,1,2018-10-20 21:31:57
302,1,1,1754,4,12,1,2018-10-20 21:31:57
303,1,1,1695,2,10,1,2018-10-20 21:31:57
304,1,1,1292,3,7,1,2018-10-20 21:31:57
305,1,1,2482,8,10,1,2018-10-20 21:31:57
306,1,1,1175,1,6,1,2018-10-20 21:31:57
307,1,1,2388,2,15,1,2018-10-20 21:31:57
308,1,1,2428,5,15,1,2018-10-20 21:31:57
309,1,1,2438,2,5,1,2018-10-20 21:31:57
310,1,1,1213,3,11,1,2018-10-20 21:31:57
311,1,1,2065,9,10,1,2018-10-20 21:31:57
312,1,1,2564,7,13,1,2018-10-20 21:31:57
313,1,1,739,10,14,1,2018-10-20 21:31:57
314,1,1,1474,7,7,1,2018-10-20 21:31:57
315,1,1,352,10,13,1,2018-10-20 21:31:57
316,1,1,1387,4,7,1,2018-10-20 21:31:57
317,1,1,2615,6,15,1,2018-10-20 21:31:57
318,1,1,1358,8,7,1,2018-10-20 21:31:57
319,1,1,2002,10,15,1,2018-10-20 21:31:57
320,1,1,2332,6,13,1,2018-10-20 21:31:57
321,1,1,1062,1,5,1,2018-10-20 21:31:57
322,1,1,872,4,11,1,2018-10-20 21:31:57
323,1,1,718,2,7,1,2018-10-20 21:31:57
324,1,1,2653,8,5,1,2018-10-20 21:31:57
325,1,1,660,3,12,1,2018-10-20 21:31:57
326,1,1,721,4,5,1,2018-10-20 21:31:57
327,1,1,1688,4,15,1,2018-10-20 21:31:57
328,1,1,764,4,8,1,2018-10-20 21:31:57
329,1,1,1080,7,7,1,2018-10-20 21:31:57
330,1,1,1386,3,5,1,2018-10-20 21:31:57
331,1,1,2671,6,10,1,2018-10-20 21:31:57
332,1,1,1321,8,7,1,2018-10-20 21:31:57
333,1,1,1988,4,15,1,2018-10-20 21:31:57
334,1,1,2366,6,8,1,2018-10-20 21:31:57
335,1,1,2099,1,12,1,2018-10-20 21:31:57
336,1,1,2496,4,7,1,2018-10-20 21:31:57
337,1,1,2781,1,5,1,2018-10-20 21:31:57
338,1,1,1394,7,8,1,2018-10-20 21:31:57
339,1,1,515,4,10,1,2018-10-20 21:31:57
340,1,1,640,7,11,1,2018-10-20 21:31:57
341,1,1,1652,8,12,1,2018-10-20 21:31:57
342,1,1,1591,3,9,1,2018-10-20 21:31:57
343,1,1,955,10,6,1,2018-10-20 21:31:57
344,1,1,2124,3,13,1,2018-10-20 21:31:57
345,1,1,1741,6,11,1,2018-10-20 21:31:57
346,1,1,1759,5,13,1,2018-10-20 21:31:57
347,1,1,2563,4,7,1,2018-10-20 21:31:57
348,1,1,1747,7,12,1,2018-10-20 21:31:57
349,1,1,2437,6,13,1,2018-10-20 21:31:57
350,1,1,2039,7,7,1,2018-10-20 21:31:57
351,1,1,1241,9,5,1,2018-10-20 21:31:57
352,1,1,2452,3,10,1,2018-10-20 21:31:57
353,1,1,884,9,11,1,2018-10-20 21:31:57
354,1,1,372,10,9,1,2018-10-20 21:31:57
355,1,1,2012,2,9,1,2018-10-20 21:31:57
356,1,1,2044,5,15,1,2018-10-20 21:31:57
357,1,1,691,9,12,1,2018-10-20 21:31:57
358,1,1,1485,4,6,1,2018-10-20 21:31:57
359,1,1,1235,5,11,1,2018-10-20 21:31:57
360,1,1,1118,7,14,1,2018-10-20 21:31:57
361,1,1,2744,8,8,1,2018-10-20 21:31:57
362,1,1,700,2,5,1,2018-10-20 21:31:57
363,1,1,1296,10,5,1,2018-10-20 21:31:57
364,1,1,2094,10,6,1,2018-10-20 21:31:57
365,1,1,761,1,13,1,2018-10-20 21:31:57
366,1,1,2143,1,6,1,2018-10-20 21:31:57
367,1,1,1106,8,5,1,2018-10-20 21:31:57
368,1,1,2419,4,15,1,2018-10-20 21:31:57
369,1,1,1378,6,7,1,2018-10-20 21:31:57
370,1,1,1211,4,15,1,2018-10-20 21:31:57
371,1,1,2353,5,14,1,2018-10-20 21:31:57
372,1,1,1631,8,11,1,2018-10-20 21:31:57
373,1,1,786,9,10,1,2018-10-20 21:31:57
374,1,1,2408,10,10,1,2018-10-20 21:31:57
375,1,1,949,8,12,1,2018-10-20 21:31:57
376,1,1,2326,8,14,1,2018-10-20 21:31:57
377,1,1,1454,9,14,1,2018-10-20 21:31:57
378,1,1,1002,4,12,1,2018-10-20 21:31:57
379,1,1,846,3,11,1,2018-10-20 21:31:57
380,1,1,971,7,11,1,2018-10-20 21:31:57
381,1,1,1920,7,6,1,2018-10-20 21:31:57
382,1,1,1994,9,6,1,2018-10-20 21:31:57
383,1,1,790,2,11,1,2018-10-20 21:31:57
384,1,1,1588,5,12,1,2018-10-20 21:31:57
385,1,1,2226,7,6,1,2018-10-20 21:31:57
386,1,1,2265,2,5,1,2018-10-20 21:31:57
387,1,1,2020,7,5,1,2018-10-20 21:31:57
388,1,1,1439,5,14,1,2018-10-20 21:31:57
389,1,1,730,10,15,1,2018-10-20 21:31:57
390,1,1,1592,7,6,1,2018-10-20 21:31:57
391,1,1,2878,7,15,1,2018-10-20 21:31:57
392,1,1,939,4,15,1,2018-10-20 21:31:57
393,1,1,1023,2,5,1,2018-10-20 21:31:57
394,1,1,1719,8,9,1,2018-10-20 21:31:57
395,1,1,2590,5,14,1,2018-10-20 21:31:57
396,1,1,2985,2,13,1,2018-10-20 21:31:57
397,1,1,631,2,8,1,2018-10-20 21:31:57
398,1,1,511,5,15,1,2018-10-20 21:31:57
399,1,1,1169,8,10,1,2018-10-20 21:31:57
400,1,1,1649,10,10,1,2018-10-20 21:31:57
401,1,1,1264,6,12,1,2018-10-20 21:31:57
402,1,1,2829,4,7,1,2018-10-20 21:31:57
403,1,1,1247,1,14,1,2018-10-20 21:31:57
404,1,1,586,1,11,1,2018-10-20 21:31:57
405,1,1,1794,6,11,1,2018-10-20 21:31:57
406,1,1,2668,9,12,1,2018-10-20 21:31:57
407,1,1,543,4,15,1,2018-10-20 21:31:57
408,1,1,2815,5,15,1,2018-10-20 21:31:57
409,1,1,2828,6,5,1,2018-10-20 21:31:57
410,1,1,1516,8,15,1,2018-10-20 21:31:57
411,1,1,2606,3,14,1,2018-10-20 21:31:57
412,1,1,2495,6,15,1,2018-10-20 21:31:57
413,1,1,2415,4,14,1,2018-10-20 21:31:57
414,1,1,2495,7,8,1,2018-10-20 21:31:57
415,1,1,1118,2,13,1,2018-10-20 21:31:57
416,1,1,1016,2,14,1,2018-10-20 21:31:57
417,1,1,870,7,13,1,2018-10-20 21:31:57
418,1,1,699,5,6,1,2018-10-20 21:31:57
419,1,1,2739,9,10,1,2018-10-20 21:31:57
420,1,1,1695,10,5,1,2018-10-20 21:31:57
421,1,1,2714,6,14,1,2018-10-20 21:31:57
422,1,1,2729,1,11,1,2018-10-20 21:31:57
423,1,1,2189,9,12,1,2018-10-20 21:31:57
424,1,1,1896,8,14,1,2018-10-20 21:31:57
425,1,1,749,8,14,1,2018-10-20 21:31:57
426,1,1,2670,5,7,1,2018-10-20 21:31:57
427,1,1,1410,4,6,1,2018-10-20 21:31:57
428,1,1,2447,4,14,1,2018-10-20 21:31:57
429,1,1,2353,2,14,1,2018-10-20 21:31:57
430,1,1,1213,1,12,1,2018-10-20 21:31:57
431,1,1,1160,9,6,1,2018-10-20 21:31:57
432,1,1,1494,4,8,1,2018-10-20 21:31:57
433,1,1,1766,3,9,1,2018-10-20 21:31:57
434,1,1,1717,1,8,1,2018-10-20 21:31:57
435,1,1,1725,8,11,1,2018-10-20 21:31:57
436,1,1,2286,5,12,1,2018-10-20 21:31:57
437,1,1,479,10,10,1,2018-10-20 21:31:57
438,1,1,936,1,15,1,2018-10-20 21:31:57
439,1,1,1295,3,12,1,2018-10-20 21:31:57
440,1,1,2827,4,14,1,2018-10-20 21:31:57
441,1,1,460,9,6,1,2018-10-20 21:31:57
442,1,1,2479,1,5,1,2018-10-20 21:31:57
443,1,1,2811,8,14,1,2018-10-20 21:31:57
444,1,1,618,2,9,1,2018-10-20 21:31:57
445,1,1,1727,8,5,1,2018-10-20 21:31:57
446,1,1,1453,3,10,1,2018-10-20 21:31:57
447,1,1,1819,7,12,1,2018-10-20 21:31:57
448,1,1,1917,1,14,1,2018-10-20 21:31:57
449,1,1,1929,1,8,1,2018-10-20 21:31:57
450,1,1,642,7,14,1,2018-10-20 21:31:57
451,1,1,677,3,9,1,2018-10-20 21:31:57
452,1,1,779,6,15,1,2018-10-20 21:31:57
453,1,1,1323,9,10,1,2018-10-20 21:31:57
454,1,1,2821,1,14,1,2018-10-20 21:31:57
455,1,1,2727,5,15,1,2018-10-20 21:31:57
456,1,1,1535,3,15,1,2018-10-20 21:31:57
457,1,1,901,2,9,1,2018-10-20 21:31:57
458,1,1,2946,3,11,1,2018-10-20 21:31:57
459,1,1,569,7,10,1,2018-10-20 21:31:57
460,1,1,2347,3,11,1,2018-10-20 21:31:57
461,1,1,1607,7,5,1,2018-10-20 21:31:57
462,1,1,2103,9,11,1,2018-10-20 21:31:57
463,1,1,486,10,7,1,2018-10-20 21:31:57
464,1,1,1112,10,5,1,2018-10-20 21:31:57
465,1,1,543,4,14,1,2018-10-20 21:31:57
466,1,1,467,6,7,1,2018-10-20 21:31:57
467,1,1,1913,6,7,1,2018-10-20 21:31:57
468,1,1,2021,2,10,1,2018-10-20 21:31:57
469,1,1,2477,7,6,1,2018-10-20 21:31:57
470,1,1,2787,4,9,1,2018-10-20 21:31:57
471,1,1,1272,8,5,1,2018-10-20 21:31:57
472,1,1,2850,9,10,1,2018-10-20 21:31:57
473,1,1,1073,8,12,1,2018-10-20 21:31:57
474,1,1,709,7,12,1,2018-10-20 21:31:57
475,1,1,497,9,14,1,2018-10-20 21:31:57
476,1,1,1536,7,9,1,2018-10-20 21:31:57
477,1,1,2391,4,5,1,2018-10-20 21:31:57
478,1,1,1579,10,5,1,2018-10-20 21:31:57
479,1,1,906,10,10,1,2018-10-20 21:31:57
480,1,1,1767,5,15,1,2018-10-20 21:31:57
481,1,1,2147,6,9,1,2018-10-20 21:31:57
482,1,1,2003,4,12,1,2018-10-20 21:31:57
483,1,1,2877,7,11,1,2018-10-20 21:31:57
484,1,1,920,10,10,1,2018-10-20 21:31:57
485,1,1,652,9,10,1,2018-10-20 21:31:57
486,1,1,2767,8,11,1,2018-10-20 21:31:57
487,1,1,2845,9,15,1,2018-10-20 21:31:57
488,1,1,2609,5,9,1,2018-10-20 21:31:57
489,1,1,1112,10,11,1,2018-10-20 21:31:57
490,1,1,1074,7,5,1,2018-10-20 21:31:57
491,1,1,1142,8,15,1,2018-10-20 21:31:57
492,1,1,1539,5,11,1,2018-10-20 21:31:57
493,1,1,1999,8,14,1,2018-10-20 21:31:57
494,1,1,2324,10,10,1,2018-10-20 21:31:57
495,1,1,2854,7,10,1,2018-10-20 21:31:57
496,1,1,1967,3,15,1,2018-10-20 21:31:57
497,1,1,2064,9,15,1,2018-10-20 21:31:57
498,1,1,699,3,10,1,2018-10-20 21:31:57
499,1,1,2664,7,9,1,2018-10-20 21:31:57
500,1,1,2334,5,8,1,2018-10-20 21:31:57
